date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:17:49	171894/171894	---M-Z	200	added ('OK')	application/javascript	etag:%2229f76-6751ac26-bdac09fbd62f73cd;gz%22	https://lemorehotels.com/wp-content/themes/letoh/assets/js/letoh.bundle.min.js?ver=6.3.5	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/themes/letoh/assets/js/letoh.bundle.min072b.js	(from https://lemorehotels.com/)
14:17:50	26254/26254	---M-Z	200	added ('OK')	application/javascript	etag:%22668e-6751ac26-de3fc50a6ab5be03;gz%22	https://lemorehotels.com/wp-content/themes/letoh/assets/js/active.js?ver=6.3.5	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/themes/letoh/assets/js/active072b.js	(from https://lemorehotels.com/)
14:17:50	76500/76500	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2007:17:49%20GMT	https://lemorehotels.com/en/	C:/wedcopy/lemorecp/lemorehotels.com/en/index.html	(from https://lemorehotels.com/)
14:17:51	810/810	---M-Z	200	added ('OK')	text/xml	date:Mon,%2007%20Jul%202025%2007:17:50%20GMT	https://lemorehotels.com/xmlrpc.php?rsd	C:/wedcopy/lemorecp/lemorehotels.com/xmlrpc0db0.php	(from https://lemorehotels.com/)
14:17:51	341637/341637	---MCZ	200	added ('OK')	application/json	date:Mon,%2007%20Jul%202025%2007:17:51%20GMT	https://lemorehotels.com/wp-json/	C:/wedcopy/lemorecp/lemorehotels.com/wp-json/index.html	(from https://lemorehotels.com/)
14:17:52	0/0	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Jul%202025%2007:17:51%20GMT	https://lemorehotels.com/window.location.href	C:/wedcopy/lemorecp/lemorehotels.com/window.location.href	(from https://lemorehotels.com/)
14:17:52	6248/6248	---M--	200	added ('OK')	image/png	etag:%221868-6751ac26-7ddbc88c6f54f31e;;;%22	https://lemorehotels.com/wp-content/uploads/2023/07/lemore-main-logo.png	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/uploads/2023/07/lemore-main-logo.png	(from https://lemorehotels.com/)
14:17:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20Jul%202025%2007:17:52%20GMT	https://lemorehotels.com/booking?room-type=5037921	C:/wedcopy/lemorecp/lemorehotels.com/booking806d	(from https://lemorehotels.com/)
14:17:53	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20Jul%202025%2007:17:53%20GMT	https://lemorehotels.com/booking?room-type=5037922	C:/wedcopy/lemorecp/lemorehotels.com/booking1932	(from https://lemorehotels.com/)
14:17:54	68008/68008	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2007:17:53%20GMT	https://lemorehotels.com/booking/?room-type=5037921	C:/wedcopy/lemorecp/lemorehotels.com/booking/index806d.html	(from https://lemorehotels.com/)
14:17:54	68008/68008	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2007:17:54%20GMT	https://lemorehotels.com/booking/?room-type=5037922	C:/wedcopy/lemorecp/lemorehotels.com/booking/index1932.html	(from https://lemorehotels.com/)
14:17:54	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20Jul%202025%2007:17:54%20GMT	https://lemorehotels.com/booking?room-type=	C:/wedcopy/lemorecp/lemorehotels.com/booking.fefba.delayed	(from https://lemorehotels.com/)
14:17:55	396812/396812	---M--	200	added ('OK')	image/jpeg	etag:%2260e0c-6751ac26-5d8b70ad2d9c7262;;;%22	https://lemorehotels.com/wp-content/uploads/letoh_default/cta/1.jpg	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/uploads/letoh_default/cta/1.jpg	(from https://lemorehotels.com/)
14:17:55	2094747/2094747	---M--	200	added ('OK')	image/jpeg	etag:%221ff69b-6751ac26-4ad445e9790b691;;;%22	https://lemorehotels.com/wp-content/uploads/letoh_default/gallery/1.jpg	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/uploads/letoh_default/gallery/1.jpg	(from https://lemorehotels.com/)
14:17:55	68008/68008	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2007:17:55%20GMT	https://lemorehotels.com/booking/?room-type=	C:/wedcopy/lemorecp/lemorehotels.com/booking/indexefba.html	(from https://lemorehotels.com/)
14:17:55	930829/930829	---M--	200	added ('OK')	image/jpeg	etag:%22e340d-6751ac26-4fad180eabf8ee14;;;%22	https://lemorehotels.com/wp-content/uploads/letoh_default/gallery/2.jpg	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/uploads/letoh_default/gallery/2.jpg	(from https://lemorehotels.com/)
14:17:55	1011121/1011121	---M--	200	added ('OK')	image/jpeg	etag:%22f6db1-6751ac26-3efc65ac418dfa5c;;;%22	https://lemorehotels.com/wp-content/uploads/letoh_default/gallery/3.jpg	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/uploads/letoh_default/gallery/3.jpg	(from https://lemorehotels.com/)
14:17:55	856511/856511	---M--	200	added ('OK')	image/jpeg	etag:%22d11bf-6751ac26-8bacf86e9b8719fd;;;%22	https://lemorehotels.com/wp-content/uploads/letoh_default/gallery/4.jpg	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/uploads/letoh_default/gallery/4.jpg	(from https://lemorehotels.com/)
14:17:56	43676/43676	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2007:17:55%20GMT	https://lemorehotels.com/2025/06/07/chao-don-say-hi-nha-trang-2025-su-kien-giao-luu-van-hoa-du-lich-day-soi-dong/	C:/wedcopy/lemorecp/lemorehotels.com/2025/06/07/chao-don-say-hi-nha-trang-2025-su-kien-giao-luu-van-hoa-du-lich-day-soi-dong/index.html	(from https://lemorehotels.com/)
14:17:56	1125205/1125205	---M--	200	added ('OK')	image/jpeg	etag:%22112b55-6751ac26-b4291bb16d832955;;;%22	https://lemorehotels.com/wp-content/uploads/letoh_default/gallery/5.jpg	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/uploads/letoh_default/gallery/5.jpg	(from https://lemorehotels.com/)
14:17:56	1019619/1019619	---M--	200	added ('OK')	image/jpeg	etag:%22f8ee3-6751ac26-b6940d90fc6b2199;;;%22	https://lemorehotels.com/wp-content/uploads/letoh_default/gallery/6.jpg	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/uploads/letoh_default/gallery/6.jpg	(from https://lemorehotels.com/)
14:17:56	1020983/1020983	---M--	200	added ('OK')	image/jpeg	etag:%22f9437-6751ac26-59291cc916221a4b;;;%22	https://lemorehotels.com/wp-content/uploads/letoh_default/gallery/7.jpg	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/uploads/letoh_default/gallery/7.jpg	(from https://lemorehotels.com/)
14:17:56	1058987/1058987	---M--	200	added ('OK')	image/jpeg	etag:%221028ab-6751ac26-44d1b72c4bbd1bb3;;;%22	https://lemorehotels.com/wp-content/uploads/letoh_default/gallery/8.jpg	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/uploads/letoh_default/gallery/8.jpg	(from https://lemorehotels.com/)
14:17:57	1057156/1057156	---M--	200	added ('OK')	image/jpeg	etag:%22102184-6751ac26-b01f619d7b2bf6a1;;;%22	https://lemorehotels.com/wp-content/uploads/letoh_default/gallery/9.jpg	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/uploads/letoh_default/gallery/9.jpg	(from https://lemorehotels.com/)
14:17:57	39044/39044	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2007:17:56%20GMT	https://lemorehotels.com/2025/05/31/le-hoi-van-hoa-du-lich-bien-nam-2025/	C:/wedcopy/lemorecp/lemorehotels.com/2025/05/31/le-hoi-van-hoa-du-lich-bien-nam-2025/index.html	(from https://lemorehotels.com/)
14:17:57	898299/898299	---M--	200	added ('OK')	image/jpeg	etag:%22db4fb-6751ac26-bc1248bcc25a5563;;;%22	https://lemorehotels.com/wp-content/uploads/letoh_default/gallery/10.jpg	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/uploads/letoh_default/gallery/10.jpg	(from https://lemorehotels.com/)
14:17:57	1009229/1009229	---M--	200	added ('OK')	image/jpeg	etag:%22f664d-6751ac26-184578eca6eae0dd;;;%22	https://lemorehotels.com/wp-content/uploads/letoh_default/gallery/11.jpg	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/uploads/letoh_default/gallery/11.jpg	(from https://lemorehotels.com/)
14:17:57	868400/868400	---M--	200	added ('OK')	image/jpeg	etag:%22d4030-6751ac26-c2f59389c28dc113;;;%22	https://lemorehotels.com/wp-content/uploads/letoh_default/gallery/12.jpg	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/uploads/letoh_default/gallery/12.jpg	(from https://lemorehotels.com/)
14:17:57	849511/849511	---M--	200	added ('OK')	image/jpeg	etag:%22cf667-6751ac26-d408d8f6b6e343bd;;;%22	https://lemorehotels.com/wp-content/uploads/letoh_default/gallery/13.jpg	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/uploads/letoh_default/gallery/13.jpg	(from https://lemorehotels.com/)
14:17:58	38622/38622	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Jul%202025%2007:17:57%20GMT	https://lemorehotels.com/2025/03/13/festival-bien-nha-trang-khanh-hoa-2025-ton-vinh-khong-gian-di-san-van-hoa-bien-dao-2/	C:/wedcopy/lemorecp/lemorehotels.com/2025/03/13/festival-bien-nha-trang-khanh-hoa-2025-ton-vinh-khong-gian-di-san-van-hoa-bien-dao-2/index.html	(from https://lemorehotels.com/)
14:17:58	850887/850887	---M--	200	added ('OK')	image/jpeg	etag:%22cfbc7-6751ac26-dd53303ac7f3ba79;;;%22	https://lemorehotels.com/wp-content/uploads/letoh_default/gallery/14.jpg	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/uploads/letoh_default/gallery/14.jpg	(from https://lemorehotels.com/)
14:17:58	923360/923360	---M--	200	added ('OK')	image/jpeg	etag:%22e16e0-6751ac26-a7e029e5202b233d;;;%22	https://lemorehotels.com/wp-content/uploads/letoh_default/gallery/15.jpg	C:/wedcopy/lemorecp/lemorehotels.com/wp-content/uploads/letoh_default/gallery/15.jpg	(from https://lemorehotels.com/)
